CODE;LIBELLE_CULTURE;CAMPAGNE_DEBUT;CAMPAGNE_FIN
ACP;Autre culture pérenne;2021;
AGR;Agrume;2015;
AIL;Ail;2015;
ANA;Ananas;2015;
ARA;Arachide;2015;
ART;Artichaut;2015;
AVH;Avoine d'hiver;2015;
AVP;Avoine de printemps;2015;
BCA;Banane créole (fruit et légume) - autre;2015;
BDH;Blé dur d'hiver;2015;
BDP;Blé dur de printemps;2015;
BEF;Banane export - fermage;2015;
BFS;Bande admissible le long d'une forêt sans production;2015;
BOR;Bordure de champ;2015;
BTA;Bande tampon;2015;
BTH;Blé tendre d'hiver;2015;
BTN;Betterave non fourragère / Bette;2015;
BTP;Blé tendre de printemps;2015;
CAC;Café / Cacao;2015;
CAE;Châtaigneraie entretenue par des porcins ou des petits ruminants;2015;
CAG;Autre céréale d’un autre genre;2015;
CAR;Carotte;2015;
CBT;Cerise bigarreau pour transformation;2015;
CCN;Concombre / Cornichon;2015;
CEE;Chênaie entretenue par des porcins ou des petits ruminants;2015;
CEL;Céleri;2015;
CHU;Chou;2015;
CHV;Chanvre;2015;
CID;Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%;2015;
CIT;Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%;2015;
CML;Cameline;2015;
CPL;Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%);2015;
CSA;Canne à sucre - autre;2015;
CSE;Chanvre sans étiquette conforme;2018;
CSS;Culture sous serre hors sol;2016;
CTG;Châtaigne;2015;
CZH;Colza d'hiver;2015;
CZP;Colza de printemps;2015;
EPE;Epeautre;2015;
EPI;Epinard;2015;
FEV;Fève;2015;
FLA;Autre légume ou fruit annuel;2015;
FLP;Autre légume ou fruit pérenne;2015;
FNU;Fenugrec;2015;
FRA;Fraise;2015;
FVL;Féverole semée avant le 31/05;2015;
GES;Gesse;2015;
HBL;Houblon;2015;
HPC;Horticulture ornementale de plein champ;2015;
JNO;Jachère noire;2015;
LAV;Lavande / Lavandin;2015;
LBF;Laitue / Batavia / Feuille de chêne;2015;
LDH;Lupin doux d'hiver;2015;
LDP;Lupin doux de printemps semé avant le 31/05;2015;
LEC;Lentille cultivée (non fourragère);2015;
LIF;Lin fibres;2015;
LIH;Lin non textile d'hiver;2015;
LIP;Lin non textile de printemps;2015;
LOT;Lotier;2015;
LUZ;Autre luzerne;2015;
MCR;Mélange de céréales;2015;
MID;Maïs doux;2015;
MIS;Maïs;2015;
MLG;Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins;2015;
MLO;Melon;2015;
MLT;Millet;2015;
MOH;Moha;2015;
MOT;Moutarde;2015;
MPC;Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales;2015;
MRS;Marais salant;2015;
NOS;Noisette;2015;
NOX;Noix;2015;
NVT;Navet;2015;
OAG;Autre oléagineux d’un autre genre;2015;
OEI;Oeillette;2015;
OHR;Autre oléagineux d’hiver d’espèce Brassica rapa;2015;
OIG;Oignon / Echalotte;2015;
OLI;Oliveraie;2015;
ORH;Orge d'hiver;2015;
ORP;Orge de printemps;2015;
PAG;Autre protéagineux d’un autre genre;2015;
